seed,suite,benchmark,pipeline_label,repeat_count,polybench_seconds_mean,polybench_seconds_median,polybench_seconds_std,polybench_seconds_ci95,wall_seconds_mean,wall_seconds_median
463,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
463,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,gramschmidt,universal,1,27.08135,27.08135,0.0,0.0,27.08135,27.08135
463,polybench_full,heat-3d,universal,1,16.205325,16.205325,0.0,0.0,16.205325,16.205325
463,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,jacobi-2d,universal,1,9.24978,9.24978,0.0,0.0,9.24978,9.24978
463,polybench_full,lu,universal,1,45.17495,45.17495,0.0,0.0,45.17495,45.17495
463,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
463,polybench_full,mvt,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
463,polybench_full,nussinov,universal,1,3.442944,3.442944,0.0,0.0,3.4698889781720936,3.4698889781720936
463,polybench_full,seidel-2d,universal,1,122.74242,122.74242,0.0,0.0,122.74242,122.74242
463,polybench_full,symm,universal,1,9.503995,9.503995,0.0,0.0,9.503995,9.503995
463,polybench_full,syr2k,universal,1,14.690655,14.690655,0.0,0.0,14.690655,14.690655
463,polybench_full,syrk,universal,1,5.082585,5.082585,0.0,0.0,5.082585,5.082585
463,polybench_full,trmm,universal,1,10.54423,10.54423,0.0,0.0,10.54423,10.54423
464,polybench_full,2mm,universal,1,11.633880000000001,11.633880000000001,0.0,0.0,11.633880000000001,11.633880000000001
464,polybench_full,3mm,universal,1,15.278985,15.278985,0.0,0.0,15.278985,15.278985
464,polybench_full,adi,universal,1,74.09491,74.09491,0.0,0.0,74.09491,74.09491
464,polybench_full,atax,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,correlation,universal,1,5.421459,5.421459,0.0,0.0,5.444647863972932,5.444647863972932
464,polybench_full,covariance,universal,1,5.530009,5.530009,0.0,0.0,5.550523587036878,5.550523587036878
464,polybench_full,deriche,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,doitgen,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,durbin,universal,1,0.003401,0.003401,0.0,0.0,0.013281302992254496,0.013281302992254496
464,polybench_full,fdtd-2d,universal,1,10.576925,10.576925,0.0,0.0,10.576925,10.576925
464,polybench_full,floyd-warshall,universal,1,74.372925,74.372925,0.0,0.0,74.372925,74.372925
464,polybench_full,gemm,universal,1,6.03004,6.03004,0.0,0.0,6.03004,6.03004
464,polybench_full,gemver,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,gramschmidt,universal,1,6.902221,6.902221,0.0,0.0,6.929888329003006,6.929888329003006
464,polybench_full,heat-3d,universal,1,16.205325,16.205325,0.0,0.0,16.205325,16.205325
464,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,jacobi-2d,universal,1,9.24978,9.24978,0.0,0.0,9.24978,9.24978
464,polybench_full,ludcmp,universal,1,4.525397,4.525397,0.0,0.0,20.933490088908002,20.933490088908002
464,polybench_full,nussinov,universal,1,3.614764,3.614764,0.0,0.0,3.64268182287924,3.64268182287924
464,polybench_full,syr2k,universal,1,14.690655,14.690655,0.0,0.0,14.690655,14.690655
464,polybench_full,syrk,universal,1,5.082585,5.082585,0.0,0.0,5.082585,5.082585
464,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
464,polybench_full,trmm,universal,1,2.101907,2.101907,0.0,0.0,2.1231897198595107,2.1231897198595107
465,polybench_full,2mm,universal,1,1778322978.283536,1778322978.283536,0.0,0.0,2.3449245099909604,2.3449245099909604
465,polybench_full,3mm,universal,1,1778323127.978935,1778323127.978935,0.0,0.0,3.0702986030373722,3.0702986030373722
465,polybench_full,adi,universal,1,1778325339.814821,1778325339.814821,0.0,0.0,14.758237886009738,14.758237886009738
465,polybench_full,atax,universal,1,1778323169.493219,1778323169.493219,0.0,0.0,0.03818971710279584,0.03818971710279584
465,polybench_full,correlation,universal,1,5.781918,5.781918,0.0,0.0,5.795384731143713,5.795384731143713
465,polybench_full,covariance,universal,1,27.28371,27.28371,0.0,0.0,27.28371,27.28371
465,polybench_full,deriche,universal,1,1778324507.590484,1778324507.590484,0.0,0.0,0.3153966700192541,0.3153966700192541
465,polybench_full,doitgen,universal,1,1778323232.918985,1778323232.918985,0.0,0.0,0.38224079506471753,0.38224079506471753
465,polybench_full,durbin,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
465,polybench_full,fdtd-2d,universal,1,1778325435.166861,1778325435.166861,0.0,0.0,2.083130046026781,2.083130046026781
465,polybench_full,gemm,universal,1,1778323307.242708,1778323307.242708,0.0,0.0,0.9274403548333794,0.9274403548333794
465,polybench_full,gemver,universal,1,1778323356.200945,1778323356.200945,0.0,0.0,0.058850477915257215,0.058850477915257215
465,polybench_full,gesummv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
465,polybench_full,gramschmidt,universal,1,6.715691,6.715691,0.0,0.0,6.733820335008204,6.733820335008204
465,polybench_full,heat-3d,universal,1,1778325548.887288,1778325548.887288,0.0,0.0,3.2865515069570392,3.2865515069570392
465,polybench_full,jacobi-1d,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
465,polybench_full,ludcmp,universal,1,21.849865,21.849865,0.0,0.0,21.849865,21.849865
465,polybench_full,nussinov,universal,1,3.390811,3.390811,0.0,0.0,3.4068711490835994,3.4068711490835994
465,polybench_full,trisolv,universal,1,5.0,5.0,0.0,0.0,5.0,5.0
